transaction_id,date,amount,currency,category,counterparty,account,description,type
TXN-10117,2023-03-23,-100.29,EUR,Healthcare,Dental Care,Savings-002,Healthcare - Pharmacy Plus,expense
TXN-10119,2023-03-24,-24.28,EUR,Entertainment,Streaming Extra,Checking-001,Entertainment - Concert Hall,expense
TXN-10110,2023-03-24,-50.93,EUR,Transport,BP,Savings-002,Transport - City Transit,expense
TXN-10107,2023-03-26,-42.55,EUR,Transport,Train Co,Credit-003,Transport - Train Co,expense
TXN-10099,2023-03-26,-63.19,EUR,Dining,Cafe Central,Credit-003,Dining - Restaurant XYZ,expense
TXN-10085,2023-03-28,1133.58,EUR,Freelance,Upwork,Savings-002,Freelance - Toptal,income
TXN-10168,2023-04-01,-102.73,EUR,Insurance,SafeLife Insurance,Credit-003,Insurance - SafeLife Insurance,expense
TXN-10170,2023-04-01,-99.85,EUR,Insurance,SafeLife Insurance,Checking-001,Insurance - SafeLife Insurance,expense
TXN-10169,2023-04-01,-97.37,EUR,Insurance,SafeLife Insurance,Checking-001,Insurance - SafeLife Insurance,expense
TXN-10138,2023-04-01,-50.29,EUR,Dining,Sushi Bar,Checking-001,Dining - Sushi Bar,expense
TXN-10155,2023-04-01,-168.44,EUR,Utilities,Gas Provider,Savings-002,Utilities - Water Utility,expense
TXN-10126,2023-04-01,4731.72,EUR,Salary,TechStart GmbH,Savings-002,Salary - Acme Corp Payroll,income
TXN-10128,2023-04-01,-1400.0,EUR,Rent,City Properties Ltd,Checking-001,Rent - City Properties Ltd,expense
TXN-10163,2023-04-03,-52.28,EUR,Entertainment,Streaming Extra,Checking-001,Entertainment - Cinema,expense
TXN-10142,2023-04-03,-51.06,EUR,Transport,BP,Checking-001,Transport - BP,expense
TXN-10133,2023-04-04,-76.47,EUR,Groceries,Whole Foods,Credit-003,Groceries - Aldi,expense
TXN-10160,2023-04-04,-44.74,EUR,Healthcare,Dental Care,Savings-002,Healthcare - Pharmacy Plus,expense
TXN-10165,2023-04-04,-219.21,EUR,Travel,Hotel Group,Credit-003,Travel - Airline,expense
TXN-10164,2023-04-05,-59.28,EUR,Entertainment,Concert Hall,Checking-001,Entertainment - Cinema,expense
TXN-10147,2023-04-07,-36.09,EUR,Transport,BP,Savings-002,Transport - Train Co,expense
TXN-10153,2023-04-09,-53.69,EUR,Transport,City Transit,Checking-001,Transport - City Transit,expense
TXN-10167,2023-04-10,-51.87,EUR,Shopping,Amazon,Credit-003,Shopping - Amazon,expense
TXN-10157,2023-04-10,-30.71,EUR,Subscriptions,Spotify,Savings-002,Subscriptions - Netflix,expense
TXN-10154,2023-04-11,-32.4,EUR,Transport,Train Co,Credit-003,Transport - City Transit,expense
TXN-10139,2023-04-12,-9.4,EUR,Dining,Sushi Bar,Credit-003,Dining - Cafe Central,expense
TXN-10145,2023-04-12,-24.29,EUR,Transport,Shell,Savings-002,Transport - Train Co,expense
TXN-10151,2023-04-12,-22.15,EUR,Transport,Train Co,Savings-002,Transport - BP,expense
TXN-10134,2023-04-13,-78.08,EUR,Groceries,Tesco,Checking-001,Groceries - Carrefour,expense
TXN-10166,2023-04-13,-85.75,EUR,Shopping,IKEA,Savings-002,Shopping - IKEA,expense
TXN-10150,2023-04-13,-41.7,EUR,Transport,Shell,Credit-003,Transport - Train Co,expense
TXN-10171,2023-04-14,-491.81,EUR,Investment,Crypto Exchange,Savings-002,Investment - Brokerage Account,expense
TXN-10137,2023-04-14,-15.93,EUR,Dining,Restaurant XYZ,Credit-003,Dining - Pizza Place,expense
TXN-10140,2023-04-14,-32.49,EUR,Dining,Pizza Place,Credit-003,Dining - Sushi Bar,expense
TXN-10141,2023-04-15,-62.14,EUR,Dining,Pizza Place,Savings-002,Dining - Cafe Central,expense
TXN-10149,2023-04-15,-57.72,EUR,Transport,Uber,Savings-002,Transport - City Transit,expense
TXN-10130,2023-04-16,-107.24,EUR,Groceries,Carrefour,Checking-001,Groceries - Aldi,expense
TXN-10162,2023-04-16,-50.87,EUR,Entertainment,Cinema,Savings-002,Entertainment - Concert Hall,expense
TXN-10127,2023-04-16,871.73,EUR,Freelance,Client A,Savings-002,Freelance - Client B,income
TXN-10144,2023-04-16,-38.35,EUR,Transport,City Transit,Savings-002,Transport - City Transit,expense
TXN-10161,2023-04-16,-120.2,EUR,Healthcare,City Clinic,Checking-001,Healthcare - Pharmacy Plus,expense
TXN-10159,2023-04-18,-22.2,EUR,Subscriptions,Spotify,Credit-003,Subscriptions - GitHub,expense
TXN-10143,2023-04-19,-27.76,EUR,Transport,BP,Savings-002,Transport - Uber,expense
TXN-10132,2023-04-20,-86.93,EUR,Groceries,Lidl,Checking-001,Groceries - Whole Foods,expense
TXN-10158,2023-04-23,-23.21,EUR,Subscriptions,Adobe,Checking-001,Subscriptions - Netflix,expense
TXN-10131,2023-04-23,-105.4,EUR,Groceries,Whole Foods,Checking-001,Groceries - Carrefour,expense
TXN-10146,2023-04-23,-27.9,EUR,Transport,Train Co,Checking-001,Transport - Train Co,expense
TXN-10135,2023-04-23,-64.32,EUR,Groceries,Tesco,Checking-001,Groceries - Whole Foods,expense
TXN-10152,2023-04-24,-31.79,EUR,Transport,Shell,Credit-003,Transport - BP,expense
TXN-10156,2023-04-25,-24.71,EUR,Subscriptions,Adobe,Checking-001,Subscriptions - Spotify,expense
TXN-10148,2023-04-25,-47.7,EUR,Transport,BP,Credit-003,Transport - BP,expense
TXN-10136,2023-04-28,-84.67,EUR,Groceries,Lidl,Credit-003,Groceries - Lidl,expense
TXN-10203,2023-05-01,-194.53,EUR,Utilities,Water Utility,Checking-001,Utilities - Gas Provider,expense
TXN-10208,2023-05-01,-119.85,EUR,Entertainment,Concert Hall,Credit-003,Entertainment - Cinema,expense
TXN-10214,2023-05-01,-97.02,EUR,Insurance,SafeLife Insurance,Checking-001,Insurance - SafeLife Insurance,expense
TXN-10215,2023-05-01,-94.39,EUR,Insurance,SafeLife Insurance,Savings-002,Insurance - SafeLife Insurance,expense
TXN-10174,2023-05-01,-1400.0,EUR,Rent,City Properties Ltd,Credit-003,Rent - City Properties Ltd,expense
TXN-10172,2023-05-01,4417.09,EUR,Salary,TechStart GmbH,Credit-003,Salary - TechStart GmbH,income
TXN-10212,2023-05-02,-33.52,EUR,Shopping,Zara,Credit-003,Shopping - MediaMarkt,expense
TXN-10209,2023-05-03,-99.01,EUR,Entertainment,Concert Hall,Savings-002,Entertainment - Streaming Extra,expense
TXN-10173,2023-05-03,1232.08,EUR,Freelance,Upwork,Credit-003,Freelance - Client B,income
TXN-10177,2023-05-04,-68.01,EUR,Groceries,Whole Foods,Credit-003,Groceries - Aldi,expense
TXN-10213,2023-05-08,-206.15,EUR,Shopping,IKEA,Checking-001,Shopping - Amazon,expense
TXN-10197,2023-05-08,-28.93,EUR,Transport,City Transit,Savings-002,Transport - City Transit,expense
TXN-10194,2023-05-08,-42.12,EUR,Transport,Uber,Savings-002,Transport - Uber,expense
TXN-10200,2023-05-09,-3.17,EUR,Transport,Shell,Credit-003,Transport - Shell,expense
TXN-10183,2023-05-09,-69.15,EUR,Groceries,Carrefour,Savings-002,Groceries - Aldi,expense
TXN-10178,2023-05-09,-103.26,EUR,Groceries,Aldi,Savings-002,Groceries - Lidl,expense
TXN-10186,2023-05-10,-58.24,EUR,Dining,Sushi Bar,Credit-003,Dining - Restaurant XYZ,expense
TXN-10191,2023-05-10,-22.01,EUR,Transport,BP,Checking-001,Transport - Uber,expense
TXN-10193,2023-05-10,-40.02,EUR,Transport,Train Co,Savings-002,Transport - Uber,expense
TXN-10207,2023-05-11,-136.63,EUR,Healthcare,Pharmacy Plus,Checking-001,Healthcare - Dental Care,expense
TXN-10216,2023-05-12,-488.65,EUR,Investment,Brokerage Account,Credit-003,Investment - Crypto Exchange,expense
TXN-10204,2023-05-13,-26.19,EUR,Subscriptions,GitHub,Checking-001,Subscriptions - Adobe,expense
TXN-10189,2023-05-14,-47.29,EUR,Dining,Pizza Place,Credit-003,Dining - Sushi Bar,expense
TXN-10187,2023-05-15,-27.95,EUR,Dining,Pizza Place,Savings-002,Dining - Restaurant XYZ,expense
TXN-10184,2023-05-16,-85.5,EUR,Dining,Pizza Place,Savings-002,Dining - Restaurant XYZ,expense
TXN-10206,2023-05-16,-25.1,EUR,Subscriptions,Spotify,Credit-003,Subscriptions - AWS,expense
TXN-10196,2023-05-17,-8.52,EUR,Transport,BP,Savings-002,Transport - BP,expense
TXN-10202,2023-05-18,-57.79,EUR,Transport,Shell,Credit-003,Transport - Train Co,expense
TXN-10181,2023-05-19,-101.29,EUR,Groceries,Whole Foods,Credit-003,Groceries - Lidl,expense
TXN-10179,2023-05-20,-79.59,EUR,Groceries,Aldi,Credit-003,Groceries - Whole Foods,expense
TXN-10180,2023-05-20,-83.86,EUR,Groceries,Lidl,Checking-001,Groceries - Carrefour,expense
TXN-10176,2023-05-20,-102.88,EUR,Groceries,Carrefour,Savings-002,Groceries - Aldi,expense
TXN-10198,2023-05-20,-53.91,EUR,Transport,City Transit,Checking-001,Transport - Shell,expense
TXN-10195,2023-05-21,-44.8,EUR,Transport,BP,Credit-003,Transport - Shell,expense
TXN-10192,2023-05-21,-53.0,EUR,Transport,City Transit,Credit-003,Transport - City Transit,expense
TXN-10190,2023-05-21,-34.9,EUR,Dining,Restaurant XYZ,Checking-001,Dining - Pizza Place,expense
TXN-10210,2023-05-23,-13.71,EUR,Entertainment,Cinema,Savings-002,Entertainment - Streaming Extra,expense
TXN-10205,2023-05-24,-15.64,EUR,Subscriptions,GitHub,Savings-002,Subscriptions - Spotify,expense
TXN-10199,2023-05-25,-21.23,EUR,Transport,BP,Savings-002,Transport - Train Co,expense
TXN-10188,2023-05-25,-60.85,EUR,Dining,Restaurant XYZ,Credit-003,Dining - Sushi Bar,expense
TXN-10182,2023-05-25,-31.4,EUR,Groceries,Aldi,Credit-003,Groceries - Aldi,expense
TXN-10201,2023-05-27,-19.51,EUR,Transport,BP,Checking-001,Transport - BP,expense
TXN-10175,2023-05-27,-111.94,EUR,Groceries,Lidl,Checking-001,Groceries - Whole Foods,expense
TXN-10211,2023-05-28,-151.51,EUR,Travel,Booking.com,Credit-003,Travel - Hotel Group,expense
TXN-10185,2023-05-28,-41.27,EUR,Dining,Sushi Bar,Credit-003,Dining - Sushi Bar,expense
TXN-10217,2023-06-01,4632.43,EUR,Salary,Acme Corp Payroll,Checking-001,Salary - Acme Corp Payroll,income
TXN-10219,2023-06-01,-1400.0,EUR,Rent,City Properties Ltd,Checking-001,Rent - City Properties Ltd,expense
TXN-10257,2023-06-01,-99.47,EUR,Insurance,SafeLife Insurance,Savings-002,Insurance - SafeLife Insurance,expense
TXN-10246,2023-06-01,-179.64,EUR,Utilities,Electric Co,Credit-003,Utilities - Water Utility,expense
TXN-10218,2023-06-03,1474.74,EUR,Freelance,Toptal,Credit-003,Freelance - Client B,income
TXN-10248,2023-06-04,-27.62,EUR,Subscriptions,GitHub,Checking-001,Subscriptions - Spotify,expense
TXN-10255,2023-06-05,-1063.76,EUR,Travel,Airline,Credit-003,Travel - Booking.com,expense
TXN-10232,2023-06-06,-61.58,EUR,Dining,Pizza Place,Credit-003,Dining - Pizza Place,expense
TXN-10239,2023-06-08,-43.87,EUR,Transport,BP,Credit-003,Transport - Shell,expense
TXN-10250,2023-06-08,-26.2,EUR,Subscriptions,AWS,Checking-001,Subscriptions - Netflix,expense
TXN-10252,2023-06-08,-50.28,EUR,Entertainment,Cinema,Credit-003,Entertainment - Cinema,expense
TXN-10226,2023-06-09,-321.81,EUR,Groceries,Lidl,Credit-003,Groceries - Aldi,expense
TXN-10254,2023-06-09,-57.09,EUR,Entertainment,Cinema,Credit-003,Entertainment - Cinema,expense
TXN-10256,2023-06-09,-227.52,EUR,Shopping,IKEA,Credit-003,Shopping - Amazon,expense
TXN-10253,2023-06-09,-63.9,EUR,Entertainment,Cinema,Checking-001,Entertainment - Streaming Extra,expense
TXN-10241,2023-06-10,-38.03,EUR,Transport,Uber,Checking-001,Transport - City Transit,expense
TXN-10225,2023-06-12,-63.76,EUR,Groceries,Whole Foods,Checking-001,Groceries - Aldi,expense
TXN-10236,2023-06-13,-126.18,EUR,Transport,BP,Savings-002,Transport - Shell,expense
TXN-10243,2023-06-14,-18.52,EUR,Transport,City Transit,Savings-002,Transport - Uber,expense
TXN-10222,2023-06-15,-90.2,EUR,Groceries,Carrefour,Savings-002,Groceries - Aldi,expense
TXN-10221,2023-06-15,-100.57,EUR,Groceries,Carrefour,Checking-001,Groceries - Lidl,expense
TXN-10238,2023-06-16,-15.84,EUR,Transport,Train Co,Savings-002,Transport - Train Co,expense
TXN-10258,2023-06-17,-437.59,EUR,Investment,Crypto Exchange,Credit-003,Investment - Brokerage Account,expense
TXN-10242,2023-06-18,-38.27,EUR,Transport,BP,Savings-002,Transport - Train Co,expense
TXN-10237,2023-06-19,-33.24,EUR,Transport,Shell,Checking-001,Transport - City Transit,expense
TXN-10247,2023-06-21,-20.35,EUR,Subscriptions,GitHub,Savings-002,Subscriptions - Spotify,expense
TXN-10230,2023-06-21,-28.74,EUR,Dining,Sushi Bar,Checking-001,Dining - Pizza Place,expense
TXN-10249,2023-06-21,-20.25,EUR,Subscriptions,Netflix,Checking-001,Subscriptions - Adobe,expense
TXN-10240,2023-06-21,-26.79,EUR,Transport,City Transit,Checking-001,Transport - Uber,expense
TXN-10229,2023-06-22,-77.32,EUR,Groceries,Tesco,Credit-003,Groceries - Lidl,expense
TXN-10223,2023-06-23,-97.33,EUR,Groceries,Whole Foods,Checking-001,Groceries - Aldi,expense
TXN-10245,2023-06-23,-22.8,EUR,Transport,BP,Savings-002,Transport - City Transit,expense
TXN-10231,2023-06-24,-32.41,EUR,Dining,Pizza Place,Savings-002,Dining - Sushi Bar,expense
TXN-10234,2023-06-26,-30.05,EUR,Dining,Restaurant XYZ,Checking-001,Dining - Cafe Central,expense
TXN-10228,2023-06-26,-62.51,EUR,Groceries,Tesco,Credit-003,Groceries - Whole Foods,expense
TXN-10233,2023-06-27,-56.2,EUR,Dining,Sushi Bar,Savings-002,Dining - Pizza Place,expense
TXN-10227,2023-06-27,-102.32,EUR,Groceries,Whole Foods,Checking-001,Groceries - Carrefour,expense
TXN-10251,2023-06-27,-47.3,EUR,Healthcare,City Clinic,Credit-003,Healthcare - City Clinic,expense
TXN-10244,2023-06-27,-22.62,EUR,Transport,BP,Savings-002,Transport - Uber,expense
TXN-10224,2023-06-28,-99.73,EUR,Groceries,Tesco,Savings-002,Groceries - Carrefour,expense
TXN-10235,2023-06-28,-32.79,EUR,Dining,Sushi Bar,Credit-003,Dining - Pizza Place,expense
TXN-10259,2023-07-01,4625.67,EUR,Salary,Acme Corp Payroll,Credit-003,Salary - TechStart GmbH,income
TXN-10303,2023-07-01,-100.77,EUR,Insurance,SafeLife Insurance,Checking-001,Insurance - SafeLife Insurance,expense
TXN-10261,2023-07-01,-1400.0,EUR,Rent,City Properties Ltd,Credit-003,Rent - City Properties Ltd,expense
